,song_id,track_uri,track_name,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels
2455,2462,spotify:track:4slSrbTK1sNK4I1mDYEthf,Rover (feat. DTG),"S1mba, DTG",0.613,0.624,0.206,0.496,0.0,0.283,0.803,62.948,9
2489,2496,spotify:track:4LddAerqROEdlx1GF1bcVd,The Hippy Hippy Shake,The Swinging Blue Jeans,0.551,0.686,0.0536,0.346,0.0,0.33,0.982,70.959,9
2529,2537,spotify:track:1Ky1qC6Tkqz9PrNHqvHZXS,Be Together (feat. Wild Belle),"Major Lazer, Wild Belle",0.497,0.627,0.0319,0.00142,0.0,0.619,0.193,79.93,9
2552,2560,spotify:track:3AfT3nmctE9nlndrFgshXH,Hurt,Christina Aguilera,0.254,0.285,0.0382,0.769,0.0,0.0997,0.101,74.858,9
2564,2572,spotify:track:3hryyr42qJLxN1xeFS6GRR,Make It To Me,Sam Smith,0.569,0.366,0.0623,0.632,2.6e-06,0.0988,0.241,74.725,9
2566,2574,spotify:track:0K1ddNp1ev0zdik1EzuxkT,Well Hello,Yellowstone And Voice,0.473,0.697,0.03,0.0229,0.0,0.0396,0.894,77.181,9
2567,2575,spotify:track:0Yg9xipP8POqZetnhGh8x6,When You Tell Me That You Love Me (with Diana Ross),"Westlife, Diana Ross",0.532,0.554,0.0301,0.295,0.0,0.3,0.107,74.916,9
2571,2579,spotify:track:12PqS4oWgjhLzQHSKHKFXe,Make It Last,Dada Pop,0.575,0.653,0.0341,0.0111,0.00214,0.175,0.314,81.058,9
2596,2604,spotify:track:5avRRgbMXNwrQ2hJ6fGsLF,See the Sun,Dido,0.527,0.622,0.0297,0.0621,3.89e-05,0.12,0.335,78.003,9
2597,2605,spotify:track:6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,0.52,0.652,0.0274,0.34,5.49e-05,0.256,0.722,80.609,9
2619,2629,spotify:track:6D186kBHszfjVVWDsWdUig,Little Me,Little Mix,0.371,0.795,0.0785,0.206,0.0,0.181,0.544,79.837,9
2651,2661,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray,0.593,0.642,0.0299,0.313,0.000582,0.0804,0.736,76.403,9
2665,2675,spotify:track:7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),"Louis Tomlinson, Bebe Rexha, Digital Farm Animals",0.683,0.53,0.142,0.207,0.0,0.394,0.645,75.016,9
2712,2724,spotify:track:7jDe24vXWUNX8Jl2hZHrIS,High Hopes,Kodaline,0.488,0.487,0.0305,0.577,0.0,0.193,0.219,77.278,9
2721,2733,spotify:track:53fP1JzpjywHdJKx1flKCA,Let’s Go Home Together,"Ella Henderson, Tom Grennan",0.661,0.486,0.0431,0.454,0.0,0.0994,0.309,78.31,9
2784,2796,spotify:track:4upv1CF2L81mccpBlHB7KZ,The Wild One - Single Version,Suzi Quatro,0.392,0.782,0.051,0.00257,0.047,0.151,0.886,75.842,9
2887,2899,spotify:track:4UNRqPzaVVim2E5VN7ICwX,Where The Boys Are,Connie Francis,0.397,0.316,0.0302,0.721,0.0,0.221,0.434,72.483,9
2902,2914,spotify:track:0lx2cLdOt3piJbcaXIV74f,willow,Taylor Swift,0.392,0.574,0.17,0.833,0.00179,0.145,0.529,81.112,9
2950,2962,spotify:track:6vXZs9rEQF7Nd6O8Ue7NrT,Are You Lonesome Tonight,Elvis Presley,0.355,0.0922,0.0515,0.918,0.000702,0.106,0.191,65.952,9
2960,2972,spotify:track:3dFR132gzO8jxD57R2gid3,You Light Up My Life,Debby Boone,0.333,0.367,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,9
3003,3015,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,LANY,0.559,0.422,0.195,0.701,1.99e-06,0.0853,0.191,74.002,9
3005,3017,spotify:track:1U0ryjeAFtS8EHKyZuFxfh,Saltwater,Julian Lennon,0.199,0.215,0.0285,0.619,1.79e-06,0.112,0.118,67.958,9
3014,3026,spotify:track:3cbLm923IeoVDOMEPOfosc,Vienna,Ultravox,0.583,0.614,0.0643,0.16,0.234,0.109,0.456,80.747,9
3050,3063,spotify:track:1dXcUx5gQ8rkHctSsRnZuH,Pretty Paper,Roy Orbison,0.417,0.279,0.0287,0.722,0.0,0.407,0.453,79.964,9
3061,3074,spotify:track:7pmadO2gKHQTKU2jKhjXyK,Blame It on the Bossa Nova,Eydie Gormé,0.681,0.442,0.0365,0.56,2.13e-05,0.278,0.848,80.171,9
3066,3079,spotify:track:2Qm5DrmotzWvqNM3JlcQYo,Let's Dance,Chris Montez,0.751,0.83,0.0951,0.212,7.94e-06,0.0584,0.935,76.489,9
3071,3084,spotify:track:5zrvcHnDnuYqB3AJiONidX,School Is Out,Gary U.S. Bonds,0.549,0.774,0.0686,0.95,0.000166,0.389,0.965,73.704,9
3088,3101,spotify:track:0LZhlPswR8YgcJV09oQvg9,Forever,The Little Dippers,0.504,0.286,0.0281,0.894,0.783,0.28,0.367,74.219,9
3089,3102,spotify:track:6EMQo2suHaUYZVsbGVTxSZ,Jealous Guy,Roxy Music,0.51,0.622,0.0268,0.0395,0.00532,0.128,0.387,77.663,9
3098,3111,spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,0.781,0.445,0.0295,0.474,0.0,0.184,0.591,78.998,9
3099,3112,spotify:track:54LGxQGf5LPXNGjtzDZ5IE,So Good (feat. Ty Dolla $ign),"Zara Larsson, Ty Dolla $ign",0.726,0.576,0.146,0.085,0.0,0.0458,0.783,82.055,9
3109,3122,spotify:track:0Oc2t0ffBfnFKthTFB87zZ,Fingertips - Original Studio Version,Stevie Wonder,0.521,0.696,0.0285,0.597,4.96e-05,0.367,0.856,79.941,9
3117,3131,spotify:track:0sE9ZTxMxYneIUAEHN4Tg7,The Power of Love,Gabrielle Aplin,0.277,0.291,0.0306,0.901,2.47e-05,0.103,0.175,75.119,9
3122,3136,spotify:track:7B3UAPLYAbwXVgbHSKEaTw,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","Céline Dion, Peabo Bryson",0.463,0.4,0.0308,0.643,2.46e-05,0.131,0.121,77.314,9
3129,3143,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,Route 66,Chuck Berry,0.686,0.692,0.0419,0.902,0.000474,0.104,0.962,79.071,9
3141,3155,spotify:track:1cV2ZlkzRvW3cXkW4mTduE,Fishin' in the Dark,Nitty Gritty Dirt Band,0.771,0.283,0.0444,0.198,0.0,0.0888,0.906,77.756,9
3151,3165,spotify:track:5t4B1kAlCD13YY9poph0Mg,Stitches,Shawn Mendes,0.594,0.754,0.11,0.0153,0.0,0.0486,0.74,73.184,9
3157,3171,spotify:track:2DRRuNEvqE8LeUO6wcE63q,Australiana,Austen Tayshus,0.464,0.984,0.711,0.928,0.0,0.982,0.346,77.745,9
3174,3188,spotify:track:0gcJYi0reGtzqF3WzQHG0I,Dedicated To The One I Love,The Shirelles,0.459,0.191,0.0341,0.8,0.0,0.164,0.537,80.351,9
3187,3201,spotify:track:3IRovqSVYx3CNtDWRebsET,Alive - 2006 Remaster,P.O.D.,0.409,0.952,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,9
3196,3210,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise (feat. L.V.),"Coolio, L.V.",0.641,0.63,0.0521,0.0372,0.0,0.4,0.415,79.955,9
3202,3216,spotify:track:1ezKo3T8GMhfj16KKAKzEp,Don't You Love Me Anymore,Joe Cocker,0.407,0.831,0.0328,0.252,2.61e-05,0.101,0.626,81.465,9
3214,3228,spotify:track:6Mfv6JuhcRtWnsABIJU9jv,Comin' Home,The Radiators,0.624,0.797,0.168,0.00308,0.0,0.0763,0.515,82.328,9
3220,3234,spotify:track:4M0m4FUdc4wD2guhUHogLF,Sharing The Night Together,Dr. Hook,0.619,0.686,0.0615,0.644,0.0,0.0996,0.757,76.923,9
3243,3257,spotify:track:02kqNEFXbcFg22pyvUyjmI,Careless Whisper - Remastered,George Michael,0.596,0.641,0.0336,0.138,0.0,0.318,0.792,76.59,9
3249,3263,spotify:track:3ebYtLVuV4HzEZUDcpZB9p,Lovin' You,Minnie Riperton,0.387,0.164,0.085,0.962,0.0,0.0817,0.409,72.029,9
3260,3274,spotify:track:0bS8xXUFf2TIFzPOfCjFai,Kosciusko - Remastered Version,Midnight Oil,0.573,0.923,0.0393,0.0144,0.00473,0.125,0.536,81.107,9
3276,3290,spotify:track:6GWAYg3cZzizs3FAJzdydD,Because I Love You (The Postman Song),Stevie B,0.22,0.339,0.037,0.812,0.0,0.139,0.0887,61.764,9
3283,3297,spotify:track:5l1DRutSEVtp52WxzGg90J,Almost Here (Duet with Brian McFadden) (with Brian McFadden),"Delta Goodrem, Brian McFadden",0.565,0.471,0.0321,0.4,0.0,0.122,0.29,78.004,9
3377,3391,spotify:track:4lfEolyFEWQ2u3XAOUkFuD,Father And Son - New Steve Mac with Strings,"Ronan Keating, Yusuf",0.534,0.521,0.0308,0.455,0.0,0.105,0.355,71.994,9
3380,3394,spotify:track:2OuNgtXKeCSORKqdl0MxKk,Chasing Pavements,Adele,0.614,0.47,0.0255,0.291,0.0,0.111,0.329,80.045,9
3399,3413,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,Begin Again,Taylor Swift,0.53,0.526,0.0263,0.199,3.52e-06,0.232,0.323,79.025,9
3407,3421,spotify:track:0W4Kpfp1w2xkY3PrV714B7,Ho Hey,The Lumineers,0.685,0.466,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,9
3423,3437,spotify:track:1RQnYh2xw2BPpnzQFbO5r5,Too Much,Spice Girls,0.333,0.631,0.0461,0.484,0.0,0.332,0.342,80.14,9
3449,3463,spotify:track:79NlESqzFSW0hdBWgls4FX,Praying,Kesha,0.565,0.381,0.0302,0.48,0.0,0.109,0.325,73.483,9
3453,3467,spotify:track:3PPVHus0QPb4EzHZxAuqsu,Good Times,The Easybeats,0.55,0.934,0.0885,0.231,0.197,0.289,0.793,81.538,9
3459,3473,spotify:track:4xgr7lz98nn7fmd3Rie1BQ,I'll Stand By You (Glee Cast Version),Glee Cast,0.395,0.601,0.0292,0.334,0.00159,0.224,0.129,67.051,9
3479,3493,spotify:track:5ggEwPI1l0xbljbJ5CWaHD,Don't Break The Heart That Loves You,Connie Francis,0.379,0.37,0.0327,0.811,0.0,0.325,0.214,73.36,9
3498,3512,spotify:track:5MVujPUg2LtLSnyaYxr1GV,Calcutta,Lawrence Welk,0.376,0.629,0.0303,0.729,0.86,0.609,0.884,81.677,9
3522,3536,spotify:track:3ZxhEGcEmCuwyBzwqCa7oW,End Of The Road,Boyz II Men,0.561,0.579,0.0243,0.0343,0.0,0.0673,0.55,74.822,9
3542,3557,spotify:track:6ZqhUFyKgHyY5zPDq4cklv,Hats Off To Larry,Del Shannon with Orchestra,0.497,0.528,0.043,0.711,2.74e-06,0.269,0.638,80.048,9
3543,3558,spotify:track:60HDLY1Dh2Hy9wTVI3WPzO,Every Little Thing She Does Is Magic - Remastered 2003,The Police,0.558,0.768,0.0343,0.121,0.0626,0.128,0.429,81.909,9
3588,3603,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,This City,Sam Fischer,0.605,0.377,0.0443,0.733,0.0,0.0808,0.519,73.877,9
3625,3640,spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,Baby,"Justin Bieber, Ludacris",0.73,0.848,0.101,0.0494,0.0,0.133,0.559,65.025,9
3636,3651,spotify:track:54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen,0.693,0.497,0.119,0.679,0.0,0.258,0.473,81.308,9
3649,3664,spotify:track:23OtRgjYavgOHteRMffcPs,Blue Velvet,Bobby Vinton,0.38,0.2,0.0296,0.789,1.45e-06,0.176,0.241,80.188,9
3654,3669,spotify:track:0dzbfio3qTYG9uk40SJNcr,The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,0.467,0.431,0.0439,0.564,7.7e-06,0.0727,0.577,75.74,9
3678,3693,spotify:track:6j6bTAiW0oEfLlAjmRNcbb,Little Wonders,Rob Thomas,0.163,0.616,0.044,0.0286,0.0,0.0826,0.33,81.993,9
3729,3744,spotify:track:1BrbXIJ7b161oQ0PfC0K32,Woman - Remastered 2010,John Lennon,0.588,0.656,0.0224,0.378,0.00227,0.042,0.746,79.701,9
3744,3759,spotify:track:70cKcH1aK78mUJ2BlsGZ4h,Come Out And Play (Keep 'Em Separated) - Live,The Offspring,0.435,0.953,0.0838,0.0148,0.000137,0.436,0.849,80.556,9
3784,3799,spotify:track:3FUnoNtMGU9XjEKFmgXIR4,Reunited,"Toni Braxton, Babyface",0.641,0.609,0.0285,0.143,0.0,0.0523,0.358,80.02,9
3829,3845,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,0.526,0.775,0.0352,0.707,2.05e-05,0.217,0.962,80.106,9
3838,3854,spotify:track:0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,Wham!,0.62,0.573,0.0423,0.271,0.0,0.0607,0.897,81.548,9
3851,3867,spotify:track:2qJNqOUnzLPl46bsRTJiKT,The Lady In Red,Chris de Burgh,0.563,0.44,0.0283,0.257,5.63e-06,0.0395,0.508,76.615,9
3853,3869,spotify:track:41Al942aUUeiSFlIsiWRa2,"Julie, Do Ya Love Me",Bobby Sherman,0.425,0.41,0.0341,0.507,2.18e-06,0.3,0.664,82.177,9
3885,3901,spotify:track:6sIXG1mxHIAAk3mW5meJZG,Reckless (Don't Be So...) - Remastered,Australian Crawl,0.699,0.37,0.0369,0.195,3.27e-05,0.0591,0.222,60.197,9
3916,3932,spotify:track:71RVcxj9HH4r6bkxG7spaQ,Never Be the Same,Jessica Mauboy,0.456,0.95,0.137,0.03,0.0,0.0859,0.361,78.458,9
3927,3944,spotify:track:0WILwgVyv5RU9oOUpw3y5P,Remind Me,Conrad Sewell,0.605,0.645,0.0397,0.236,0.0,0.0917,0.15,76.956,9
3946,3963,spotify:track:3BrmZp9bjwjwAva5rCgW87,You Give Me Something,James Morrison,0.559,0.691,0.121,0.214,0.0,0.0855,0.569,79.741,9
3972,3989,spotify:track:3AuvUUnomjofL2uO02a2fV,Ready to Fly,Amy Pearson,0.392,0.483,0.03,0.386,1.18e-06,0.0838,0.231,71.117,9
3984,4001,spotify:track:6kTakcO9wwXh8tEqmJSV8h,"How Come, How Long (feat. Stevie Wonder)","Babyface, Stevie Wonder",0.636,0.555,0.0264,0.0141,3e-06,0.0966,0.289,80.912,9
4004,4021,spotify:track:2uTGX4wxnRGS3i0FSOMGCQ,Three Times A Lady,Commodores,0.487,0.094,0.0274,0.834,0.000224,0.172,0.0788,74.857,9
4008,4025,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,0.149,0.206,0.0323,0.822,0.000649,0.115,0.264,79.764,9
4015,4032,spotify:track:3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",0.609,0.668,0.0367,0.0552,0.0,0.167,0.811,80.924,9
4041,4058,spotify:track:6XP7XXKLlBQ2xDib64Hycd,This Time,Troy Shondell,0.389,0.36,0.0279,0.766,0.0,0.48,0.439,81.869,9
4057,4074,spotify:track:0GQqQ7dA7B4mcEktSZaOUp,as long as you care,Ruel,0.55,0.591,0.0377,0.00692,0.0,0.11,0.308,78.68,9
4059,4076,spotify:track:3vZMkLS1jP7NdNhzqGfUSW,Ben - Single Version,Michael Jackson,0.464,0.132,0.0283,0.81,1.16e-05,0.0994,0.303,68.152,9
4077,4094,spotify:track:2e7Ek1y84iMzo1vL2djgvq,High Hopes - Live,Pink Floyd,0.454,0.374,0.0257,0.518,0.0104,0.944,0.157,75.113,9
4107,4124,spotify:track:5I3hQNKjCwalENrab1SBtt,Walking To New Orleans - Remastered,Fats Domino,0.606,0.344,0.0403,0.782,0.0,0.132,0.517,80.829,9
4126,4143,spotify:track:6GGZSgEo4RDOzyXnkMFbvD,Monterey,Eric Burdon & the Animals,0.487,0.557,0.071,0.763,0.0852,0.211,0.643,80.732,9
4174,4191,spotify:track:1GNXKxf8dip6vPukn0R5lP,I Am Pegasus,Ross Ryan,0.34,0.557,0.0342,0.0994,0.0,0.49,0.756,73.336,9
4231,4248,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,Hey Ya! - Radio Mix / Club Mix,Outkast,0.719,0.967,0.0552,0.0588,0.000249,0.206,0.964,79.505,9
4238,4255,spotify:track:442j8VxaB60dWf9cBFuX5w,Almost Is Never Enough,"Ariana Grande, Nathan Sykes",0.324,0.327,0.0409,0.825,0.0,0.101,0.334,81.328,9
4261,4278,spotify:track:49VAfcwX7Nwe6wfYKJgFzd,Finally Found,Honeyz,0.639,0.502,0.0435,0.507,3.95e-06,0.188,0.735,73.865,9
4272,4289,spotify:track:1I3ZtkoM19zN8cV62XpbwW,The Greatest View,Silverchair,0.318,0.787,0.0329,9e-05,5.97e-05,0.163,0.347,79.159,9
4280,4297,spotify:track:4WtosLGq96T9gboM0xTkgR,Sixteen Reasons,Connie Stevens,0.311,0.389,0.0307,0.839,1.35e-05,0.111,0.661,72.558,9
4311,4328,spotify:track:4XMRt4xFqLzGs4wDKkSSeu,Give Me Love (Give Me Peace On Earth),George Harrison,0.373,0.57,0.0441,0.497,0.0124,0.128,0.631,81.28,9
4320,4337,spotify:track:1jy0RbDHyBMTupSdc98XbG,How Can You Mend A Broken Heart,Bee Gees,0.335,0.262,0.0393,0.548,0.0,0.0971,0.203,68.82,9
4325,4342,spotify:track:3H7QXM59ubkX9yyKD1fEwK,Ebony And Ivory,Paul McCartney,0.633,0.519,0.0317,0.144,0.0,0.105,0.823,80.703,9
4348,4365,spotify:track:6CTWathupIiDs7U4InHnDA,Trip,Ella Mai,0.477,0.61,0.144,0.225,0.0,0.107,0.358,79.882,9
4359,4376,spotify:track:2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",0.689,0.481,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,9
4390,4407,spotify:track:2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,0.645,0.713,0.0393,0.00835,0.0,0.113,0.566,74.989,9
4404,4421,spotify:track:6QLO02TAXSUqgk0wNXywuz,Come On Over,Shania Twain,0.618,0.92,0.0457,0.112,0.0,0.691,0.966,76.512,9
4409,4426,spotify:track:24fQpRwKFkC3Fe8QtvvrNw,Back for Good - Radio Mix,Take That,0.601,0.504,0.0284,0.31,0.0,0.137,0.564,78.986,9
4416,4433,spotify:track:3fHNjvF6AU1LXVez0wnFvw,Lost Cause,Billie Eilish,0.642,0.33,0.262,0.713,0.00728,0.0577,0.523,74.974,9
4420,4437,spotify:track:1oht5GevPN9t1T3kG1m1GO,Fire and Rain - 2019 Remaster,James Taylor,0.597,0.271,0.0394,0.766,0.0119,0.0933,0.338,76.271,9
4433,4450,spotify:track:5hxuBWWmk9cGM1p8vrJ8bP,Loud Like Love,Placebo,0.403,0.94,0.0605,0.000171,5.32e-06,0.121,0.356,76.503,9
4448,4465,spotify:track:6f5sSC3ORfpUMYtE4J06VW,He Ain't Heavy He's My Brother,The Hollies,0.319,0.275,0.0303,0.444,0.000365,0.183,0.253,75.754,9
4473,4490,spotify:track:3aXuXjIXG5B2jtlsWKLd1l,Everybody's Got To Learn Sometime,The Korgis,0.369,0.238,0.0269,0.554,0.0425,0.125,0.0578,73.899,9
4496,4513,spotify:track:5zqObw7wjBgL9TDiAymxPn,Our Song,"Anne-Marie, Niall Horan",0.595,0.759,0.0423,0.141,0.0,0.172,0.515,80.953,9
4503,4520,spotify:track:3SPcBPzvbmWLl8NU5efx4W,Telephone Line,Electric Light Orchestra,0.467,0.367,0.0298,0.771,2.27e-05,0.0847,0.205,70.856,9
4530,4547,spotify:track:53968oKecrFxkErocab2Al,November Rain,Guns N' Roses,0.197,0.629,0.03,0.0165,0.279,0.125,0.221,79.495,9
4533,4550,spotify:track:7vqubB6rY1NpGVGpHYobbQ,Without You,Harry Nilsson,0.441,0.212,0.0287,0.556,5.52e-06,0.0578,0.124,65.311,9
4593,4610,spotify:track:2IqkGWpNk5Z6AotRLwHkEp,What You Got - What U Got,Abs Breen,0.685,0.841,0.114,0.0254,1.51e-06,0.31,0.813,82.008,9
4595,4612,spotify:track:1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",0.728,0.783,0.266,0.237,0.0,0.434,0.555,77.011,9
4604,4621,spotify:track:56GbZVwxMdf1DENCluYS8A,Don't Dream It's Over,Crowded House,0.451,0.752,0.0412,0.00939,0.000202,0.0844,0.358,81.917,9
4612,4629,spotify:track:07PIhdmyYIw8dMeDMsx9FU,Words,Bee Gees,0.259,0.289,0.0285,0.14,0.0,0.162,0.246,80.326,9
4638,4655,spotify:track:3G2KQpiCXFYqYlUVVskqqr,Barbara Ann (Mono),The Beach Boys,0.537,0.54,0.0506,0.124,0.0,0.804,0.82,77.817,9
4640,4657,spotify:track:3lKZf71jeNi14udIFPJ29V,I Knew You Were Trouble.,Taylor Swift,0.622,0.469,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,9
4643,4660,spotify:track:6eYbHXkYM5m3Eg6WJzU3NW,Good Lord,Birds Of Tokyo,0.578,0.696,0.0392,0.00615,0.0,0.346,0.226,78.012,9
4650,4667,spotify:track:770bUE65sXIhYuLNGm4CIL,Love Letters,Ketty Lester,0.567,0.218,0.0328,0.766,0.605,0.179,0.271,64.412,9
4711,4728,spotify:track:0LTbEzpuUCelZi8VgZ8MUh,My Heart Has A Mind Of Its Own,Connie Francis,0.397,0.576,0.0389,0.742,1.67e-06,0.31,0.754,54.282,9
4715,4732,spotify:track:4dlUnqyUXcte12KxvnyV4R,Double Barrel,Dave & Ansell Collins,0.791,0.619,0.0777,0.195,0.000817,0.137,0.828,80.753,9
4721,4738,spotify:track:5vk9PL1tTyWrQY3TqRq2Rg,Patches,Clarence Carter,0.639,0.544,0.141,0.617,0.0,0.479,0.793,80.844,9
4728,4745,spotify:track:1bdlSRsfxwDQ8H9TUQ81BJ,Wide Open Road,The Triffids,0.54,0.695,0.0427,0.102,0.259,0.0958,0.572,80.956,9
4736,4753,spotify:track:6qB7YcFpeBEQa0D6QO482y,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,0.52,0.652,0.0274,0.34,5.49e-05,0.256,0.722,80.609,9
4775,4793,spotify:track:5tOjRq5shlEdm15nmJBq7Z,Out Of My Head,Fastball,0.531,0.658,0.0382,0.412,0.00272,0.16,0.461,78.896,9
4797,4815,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,0.359,0.543,0.0919,0.492,1.58e-05,0.118,0.453,68.534,9
4833,4851,spotify:track:0jdny0dhgjUwoIp5GkqEaA,Praying,Kesha,0.543,0.39,0.0322,0.489,0.0,0.111,0.303,73.415,9
4842,4860,spotify:track:34xZFT7artr3SGqgSoR88L,Complicated,Avril Lavigne,0.582,0.758,0.0464,0.0615,8.41e-06,0.309,0.413,77.982,9
4853,4871,spotify:track:366wRPrx2airjcCRkxgoS2,Surrender,Elvis Presley,0.38,0.638,0.0504,0.75,0.0,0.258,0.749,79.125,9
4877,4896,spotify:track:6e6ag4qyhhn8JRF1xmMJYR,"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande, John Legend",0.497,0.547,0.0277,0.157,0.0,0.101,0.241,81.425,9
4899,4918,spotify:track:7LP4Es66zdY7CyjepqmvAg,Down,"Jay Sean, Lil Wayne",0.657,0.695,0.0321,0.0108,0.0,0.0822,0.683,65.997,9
4915,4934,spotify:track:4P6IttK2PRBjyr3fm0pP7t,Past Life (with Selena Gomez),"Trevor Daniel, Selena Gomez",0.612,0.539,0.0488,0.104,0.0,0.18,0.294,79.948,9
4918,4937,spotify:track:4LOgi2TAAoKU9ImfzRrCPO,Heaven,Bryan Adams,0.269,0.572,0.0278,0.059,1.3e-06,0.123,0.364,69.83,9
4980,4999,spotify:track:3XEaBMzr9GjUJrHjKUF5lA,Every Woman In The World,Air Supply,0.465,0.408,0.0334,0.318,0.0,0.255,0.371,78.965,9
4991,5010,spotify:track:5UnqU47OSB8LBahj0jtjrR,Another Way to Die,"Jack White, Alicia Keys",0.541,0.772,0.136,0.0382,8.48e-05,0.0796,0.43,71.201,9
4995,5014,spotify:track:0RVeadY2MbHz4Pe4MreLNw,Rocket,Def Leppard,0.521,0.916,0.0467,0.000249,0.00116,0.948,0.398,81.998,9
5031,5050,spotify:track:60IP24D2UJvLuRhwQuUEnM,Linger (feat. Lupe Fiasco),"Guy Sebastian, Lupe Fiasco",0.667,0.628,0.0564,0.0284,0.0,0.0339,0.285,76.0,9
5076,5096,spotify:track:4Bza6algEDbY8yrm8qMeg7,She's All I Ever Had,Ricky Martin,0.393,0.765,0.0481,0.0172,0.0,0.227,0.274,81.088,9
5117,5137,spotify:track:7jw0hu5zFqCTCznb01TpBU,"Closer - Original Song from the TV Series ""The Secret Daughter""",Jessica Mauboy,0.549,0.654,0.0359,0.107,0.0,0.316,0.3,77.457,9
5118,5138,spotify:track:1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,0.579,0.904,0.0618,0.193,0.0,0.064,0.681,82.014,9
5174,5194,spotify:track:248OFOZef6ShXv6DGgbnxU,Saved,Khalid,0.739,0.448,0.138,0.189,0.0,0.118,0.553,81.044,9
5177,5197,spotify:track:1XZa6MDzWqCTeNATvtxzZY,Hey Ya!,Outkast,0.744,0.916,0.0563,0.0354,0.0,0.253,0.966,79.456,9
5228,5248,spotify:track:4fUSETqk4cKrV3CeHIBtfa,Let It Burn,Jazmine Sullivan,0.56,0.561,0.039,0.262,0.0,0.112,0.458,78.986,9
5242,5262,spotify:track:6OfAaE2skMyNtZtzhlpA5q,Feelings,Morris Albert,0.392,0.383,0.0267,0.415,3.23e-06,0.126,0.216,80.472,9
5252,5272,spotify:track:2MA3h5MsIglWsU5tVZ2jJD,I Really Don't Want to Know,Elvis Presley,0.297,0.337,0.034,0.679,0.106,0.136,0.328,78.405,9
5257,5277,spotify:track:6HMvJcdw6qLsyV1b5x29sa,Hello,Lionel Richie,0.424,0.222,0.0391,0.646,0.0,0.148,0.0606,61.648,9
5288,5308,spotify:track:6BoueSxgJU2heOvYVDTBuk,I Do (Cherish You),98º,0.573,0.431,0.0362,0.613,0.0,0.27,0.28,81.013,9
5303,5323,spotify:track:4Y60HlGcUXIsHzVmdKKKBu,Basin Street Blues,Dómisol Sisters,0.53,0.17,0.0448,0.903,5.56e-05,0.0944,0.506,79.734,9
5317,5337,spotify:track:5d4E1hgkLyb7sXr5J3InnM,You Needed Me,Anne Murray,0.497,0.296,0.0302,0.431,0.0,0.106,0.171,62.204,9
5331,5351,spotify:track:2TtUTMm65xZeqmF721Txfk,Don't Expect Me to Be Your Friend,Lobo,0.513,0.347,0.029,0.273,0.0417,0.0805,0.52,78.811,9
5336,5356,spotify:track:4ZfpHQ2mkA4HYZtVWBfOCK,Set In Stone,Guy Sebastian,0.487,0.295,0.0308,0.567,1.27e-05,0.102,0.0709,78.122,9
5348,5368,spotify:track:3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,0.405,0.846,0.195,0.0948,0.0,0.0666,0.602,82.232,9
